objectid,stationid,sampledate,latitude,longitude,watershed,river_sitedescription,debriscategory,debrisitem,resulttotal
336,901M14142,5/31/18,33.62131,-117.68977,Aliso-San Onofre,Aliso Creek,Plastic,Cups,1
353,901M14142,5/31/18,33.62131,-117.68977,Aliso-San Onofre,Aliso Creek,Miscellaneous,Misc. Other,1
345,901M14142,5/31/18,33.62131,-117.68977,Aliso-San Onofre,Aliso Creek,Plastic,Plastic Other,2
333,901M14142,5/31/18,33.62131,-117.68977,Aliso-San Onofre,Aliso Creek,Plastic,Bag Pieces,5
346,901M14142,5/31/18,33.62131,-117.68977,Aliso-San Onofre,Aliso Creek,Fabric_Cloth,"Natural (Cotton, Wool)",5
344,901M14142,5/31/18,33.62131,-117.68977,Aliso-San Onofre,Aliso Creek,Plastic,Wrapper/Wrapper Pieces,12
352,901M14142,5/31/18,33.62131,-117.68977,Aliso-San Onofre,Aliso Creek,Miscellaneous,Sports Balls,5
351,901M14142,5/31/18,33.62131,-117.68977,Aliso-San Onofre,Aliso Creek,Metal,Metal Other,1
343,901M14142,5/31/18,33.62131,-117.68977,Aliso-San Onofre,Aliso Creek,Plastic,Tarp,4
556,902M18901,5/1/18,33.49624,-117.20414,Santa Margarita,Unnamed Creek,Construction,Concrete/Asphalt,5
555,902M18901,5/1/18,33.49624,-117.20414,Santa Margarita,Unnamed Creek,Miscellaneous,Rubber/Rubber Pieces,1
554,902M18901,5/1/18,33.49624,-117.20414,Santa Margarita,Unnamed Creek,Plastic,Tarp,1
1,902WE0888,5/17/18,33.45432,-117.30237,Santa Margarita,De Luz Creek,Plastic,Bag - single use,1
2,902WE0888,5/17/18,33.45432,-117.30237,Santa Margarita,De Luz Creek,Plastic,Plastic Pipe,1
3,902WE0888,5/17/18,33.45432,-117.30237,Santa Margarita,De Luz Creek,Plastic,Soft Plastic Pieces,1
17,903M20214,5/8/18,33.22036,-117.35819,San Luis Rey-Escondido,San Luis Rey River,Plastic,Plastic Bottles,1
22,903M20214,5/8/18,33.22036,-117.35819,San Luis Rey-Escondido,San Luis Rey River,Plastic,Wrapper/Wrapper Pieces,7
18,903M20214,5/8/18,33.22036,-117.35819,San Luis Rey-Escondido,San Luis Rey River,Plastic,Plastic Pipe,1
13,903M20214,5/8/18,33.22036,-117.35819,San Luis Rey-Escondido,San Luis Rey River,Plastic,Container Cap/Pieces,2
11,903M20214,5/8/18,33.22036,-117.35819,San Luis Rey-Escondido,San Luis Rey River,Plastic,Bag Pieces,3
20,903M20214,5/8/18,33.22036,-117.35819,San Luis Rey-Escondido,San Luis Rey River,Plastic,Single Use Container,2
21,903M20214,5/8/18,33.22036,-117.35819,San Luis Rey-Escondido,San Luis Rey River,Plastic,Straw/Stirrer,2
19,903M20214,5/8/18,33.22036,-117.35819,San Luis Rey-Escondido,San Luis Rey River,Plastic,Plastic Straw Wrapper,1
12,903M20214,5/8/18,33.22036,-117.35819,San Luis Rey-Escondido,San Luis Rey River,Plastic,Cigarette Butts,2
